Play	Oyna
Highscores	Yüksek skorlar
About	Hakkında
Send E-Mail	E-Posta Gönder
Top Rankings	Yüksek Skorlar
Total games won/played: 	Toplam oynanan oyun:
No games have been played yet.	Hiç oyun oynanmadı.
No additional information	Ek bilgi bulunmamakta
Your Badges	Rozetlerin
Load Game	Oyunu Yükle
New Game	Yeni Oyun
Erase current game	Şu anki oyunu sil
Depth: %1$d, level: %2$d	Derinlik: %1$d\nSeviye: %2$d
Do you really want to start new game?	Yeni oyun başlatmak istediğinizden emin misiniz?
Your current game progress will be erased.	Şu anki ilerlemeniz silinecektir.
Yes, start new game	Evet, yeni oyun başlat
No, return to main menu	Hayır, ana menüye dön
To unlock this character class, slay the 3rd boss with any other class	"Bu karakter sınıfını kilidini açmak için, herhangi bir diğer sınıfla DM-300 patronunu öldürün
To unlock "Challenges", win the game with any character class.	"Düellolar"ı açmak için herhangi bir karakter türü ile oyunu bitir.
Descending...	İniliyor...
Ascending...	Çıkılıyor...
Loading...	Yükleniyor...
Resurrecting...	Yeniden canlandırılıyor...
Returning...	Dönülüyor...
Falling...	Düşülüyor...
File not found. For some reason...	Dosya bulunamadı. Bir nedenden ötürü...
Something went wrong...	Birşeyler ters gitti...
Many heroes of all kinds ventured into the Dungeon before you. Some of them have returned with treasures and magical artifacts, most have never been heard of since. But none have succeeded in retrieving the Amulet of Yendor, which is told to be hidden in the depths of the Dungeon.\n\nYou consider yourself ready for the challenge, but most importantly, you feel that fortune smiles on you. It's time to start your own adventure!	Her türden kahraman senden önce bu zindana girmeye cesaret etti. Bazıları hazineler ve senin adını ile bilmediğin sihirli eserlerle geri döndüler. Ama kimse zindanın derinliklerinde olduğu söylenen Yendor'un Tılsımını almayı başaramadı. \n\n Kendinizi meydan okumaya hazır olarak görüyorsunuz, ama en önemlisi, bu talihin size gülümsediğini hissediyorsunuz. Şimdi kendi maceranıza başlama zamanı!
Let's call it a day	Bugünlük bu kadar yeter
I'm not done yet	Daha işim bitmedi
You finally hold it in your hands, the Amulet of Yendor. Using its power you can take over the world or bring peace and prosperity to people or whatever. Anyway, your life will change forever and this game will end here. Or you can stay a mere mortal a little longer.	Sonunda ellerinde tutuyorsun, Yendor'un Tılsımı. Bu tılsımın gücüyle dünyayı ele geçirebilir veya insanlara falan barış ve refah getirebilirsin. Her neyse, hayatın sonsuza kadar değişecek ve oyun burada bitecek. Veya önemsiz bir ölümlü olarak biraz daha buralarda kalabilirsin.
Welcome to the level %d of Pixel Dungeon!	Remixed Dungeon'ın %d numaralı seviyesine hoşgeldiniz!
Welcome back to the level %d of Pixel Dungeon!	Remixed Dungeon'ın %d numaralı seviyesine tekrar hoşgeldiniz!
Be cautious, since the dungeon is even more dangerous at night!	Zindan geceleri daha da tehlikeli olduğu için dikkatli olun!
Your steps echo across the dungeon.	Adımların zindanda yankılanıyor.
You hear the water splashing around you.	Etrafındaki su şarıltılarını duyuyorsun.
The smell of vegetation is thick in the air.	Havada yoğun bir bitki örtüsü kokusu var.
The atmosphere hints that this floor hides many secrets.	Atmosfer, bu katın pek çok sır sakladığını gösteriyor.
mob	canavar
%1$s hit %2$s	%1$s vurdu %2$s
%1$s defeated %2$s	%1$s yendi %2$s
%1$s %2$s your attack	%1$s %2$s saldırın
%1$s %2$s %3$s's attack	%1$s %2$s %3$s'nın saldırısı
The pain snapped %s out of paralysis	Ağrı %s'yı felçten uyandırdı
dodged	kaçtı
poisoned	zehirlendi
amok	cinnet
slowed	yavaşladı
mind	zihin
vision	görüş
paralyzed	felçli
frightened	korkmuş
rooted	kök salmış
crippled	sakat
bleeding	kanama
dizzy	sersem
invisible	görünmez
you	sen
One does not simply leave Pixel Dungeon.	Hiç kimse Remixed Dungeon'dan basitçe ayrılamadı.
level up!	seviye atladın!
