LibGDX port: Arcnor / Web port: nojus297	LibGDX-порт: Arcnor / вебпорт: nojus297
Telegram port: @barboskich	Telegram-порт: @barboskich
Say thanks	Подякувати
Thank you!	Дякуємо!
This is a voluntary tip for the Telegram port. It never affects gameplay.	Це добровільна подяка за Telegram-порт. Вона ніяк не впливає на ігровий процес.
Support with Telegram Stars	Підтримати в Telegram Stars
Open @barboskich	Відкрити @barboskich
Sacrificial chamber	Жертовна зала
Killed by an explosion of a bomb on level %d	Загибель від вибуху бомби на %d-му рівні
Do you want to respec into %s?	Бажаєш змінити спеціалізацію на %s?
Yes, I want to respec	Так, хочу змінити спеціалізацію
Maybe later	Можливо, пізніше
Language	Мова
dodged	ухилився
Because of frequent use, your %s has broken.	Через часте використання твій %s зламався.
Because of frequent use, your %s is going to break soon.	Через часте використання твій %s скоро зламається.
bomb	бомба
This is a relatively small bomb, filled with black powder. Conveniently, its fuse is lit automatically when the bomb is thrown.	Це порівняно невелика бомба, наповнена чорним порохом. На щастя, її ґніт запалюється сам, коли бомбу кидають.
You killed yourself with a bomb...	Ти підірвав себе бомбою...
honeypot	горщик меду
SHATTER	РОЗБИТИ
There is not much honey in this small honeypot, but there is a golden bee there and it doesn't want to leave it.	У цьому маленькому горщику небагато меду, зате всередині живе золота бджола, яка не хоче його покидати.
%s of auto-repair	%s самовідновлення
enchantment of viscosity	зачарування в'язкості
The enchantment of viscosity killed you...	Зачарування в'язкості вбило тебе...
phantom fish	примарна риба
sheep	вівця
broken %s	зламаний %s
Unequip one ring	Зняти одну каблучку
Scroll of Enchantment	Сувій Зачарування
Select an enchantable item	Обери предмет для зачарування
your %s glows in the dark	твій %s сяє в темряві
Scroll of Wipe Out	Сувій Винищення
You are now familiar enough with your %s.	Тепер ти вже достатньо добре знаєш свій %s.
Wand of Reach	Паличка Досяжності
shocking %s	громовий %s
tempered %s	загартований %s
grim %s	похмурий %s
blazing %s	палаючий %s
eldritch %s	потойбічний %s
unstable %s	нестабільний %s
vampiric %s	вампіричний %s
lucky %s	щасливий %s
stunning %s	приголомшливий %s
venomous %s	отруйний %s
chilling %s	крижаний %s
"Your sacrifice is worthy..."	"Твоя жертва гідна..."
"Your sacrifice is unworthy..."	"Твоя жертва негідна..."
"Your sacrifice is worthy and so you are!"	"Твоя жертва гідна — як і ти!"
Sacrificial fire burns here. Every creature touched by this fire is marked as an offering for the spirits of the dungeon.	Тут палає жертовний вогонь. Кожна істота, якої він торкнеться, стає підношенням духам підземелля.
Marked for sacrifice	Позначено для жертви
Immune to gases	Невразливість до газів
You are hungry.	Ти голодний.
You are starving!	Ти вмираєш від голоду!
Blinded with rage	Засліплено люттю
Zeroed in	На прицілі
echo of 	відлуння 
curse personification	втілення прокляття
DM-350	DM-350
Goo	Ґу
spawn of Goo	породження Ґу
King of Dwarves	Король дворфів
undead King of Dwarves	мертвий Король дворфів
undead dwarf	мертвий дворф
memory of Tengu	спогад про Тенґу
echo of Yog-Dzewa	відлуння Йоґ-Дзеви
Yog-Dzewa	Йоґ-Дзева
rotting fist	гниючий кулак
burning fist	палаючий кулак
god's larva	личинка бога
Yes, I will do it for you	Так, я зроблю це для тебе
