Play	开始游戏
Highscores	排行榜
About	关于我们
Send E-Mail	发送邮件
Top Rankings	最高纪录
Total games won/played: 	总游戏次数
No games have been played yet.	还没进行过游戏
No additional information	没有其他信息
Your Badges	你的徽章
Load Game	加载游戏
New Game	新游戏
Erase current game	清除进度
Depth: %1$d, level: %2$d	层数：%1$d\n等级： %2$d
Do you really want to start new game?	确定要重新开始？
Your current game progress will be erased.	你当前的所有进度会被清除。
Yes, start new game	是的，重新开始
No, return to main menu	不，返回主目录
To unlock this character class, slay the 3rd boss with any other class	使用其他角色击杀DM-300来解锁此角色
To unlock "Challenges", win the game with any character class.	使用任意角色完成游戏来解锁“挑战”。
Descending...	下楼中……
Ascending...	上楼中……
Loading...	加载中……
Resurrecting...	复活中……
Returning...	返回中……
Falling...	坠落中……
File not found. For some reason...	因为一些原因，存档没有找到……
Something went wrong...	发生错误了……
Many heroes of all kinds ventured into the Dungeon before you. Some of them have returned with treasures and magical artifacts, most have never been heard of since. But none have succeeded in retrieving the Amulet of Yendor, which is told to be hidden in the depths of the Dungeon.\n\nYou consider yourself ready for the challenge, but most importantly, you feel that fortune smiles on you. It's time to start your own adventure!	在你之前，已经有许多英雄向地牢进发。有些人携着财宝和魔法物品满足载而归，可是他们大部分人却杳无音讯。然而，从未有人成功取回Yendor护符——那件据说被藏在地牢深处的东西。\n\n你认为你已经准备好面对这个挑战了，更重要的是，你感觉到命运女神正向你投以一丝微笑。现在，是时候展开属于你的冒险了！
Let's call it a day	让这一切结束吧
I'm not done yet	我还没完呢
You finally hold it in your hands, the Amulet of Yendor. Using its power you can take over the world or bring peace and prosperity to people or whatever. Anyway, your life will change forever and this game will end here. Or you can stay a mere mortal a little longer.	你终于拿到了Yendor护符。借助它的力量你可以统治这个世界，给他人带来和平与繁荣或是其他的事。不论如何，你的一生已经被永久改变，游戏也会在此处终结。当然你可以作为一名普通人在这里多逗留一会。
Welcome to the level %d of Pixel Dungeon!	欢迎来到混合地牢第 %d 层！
Welcome back to the level %d of Pixel Dungeon!	欢迎回到混合地牢第 %d 层！
Be cautious, since the dungeon is even more dangerous at night!	一定要多加小心，地牢在夜间会更加危险！
Your steps echo across the dungeon.	你的脚步声回荡在地牢中。
You hear the water splashing around you.	你听见周围水花四溅的声音。
The smell of vegetation is thick in the air.	空气中弥漫着浓郁的植物清香。
The atmosphere hints that this floor hides many secrets.	诡异的气氛似乎暗示这里隐藏着许多秘密。
mob	怪物
%1$s hit %2$s	%1$s攻击了%2$s
%1$s defeated %2$s	%1$s击杀了%2$s
%1$s %2$s your attack	%1$s%2$s了你的攻击
%1$s %2$s %3$s's attack	%1$s%2$s了%3$s的攻击
The pain snapped %s out of paralysis	疼痛使%s从麻痹中解脱出来
dodged	闪避
poisoned	中毒
amok	狂乱
slowed	缓速
mind	意念
vision	全视
paralyzed	麻痺
frightened	恐惧
rooted	生根
crippled	残废
bleeding	流血
dizzy	眩晕
invisible	隐身
you	你
One does not simply leave Pixel Dungeon.	没有人会轻易地离开混合地牢。
level up!	升级！
Welcome to level %d! Now you are healthier and more focused. It's easier for you to hit enemies and dodge their attacks.	恭喜你升到了 %d 级！\n你的生命值提高了，同时更容易命中敌人，闪避敌人攻击。
You now have %s	你获得了%s
There is something else here	这里还有其他东西
This chest is locked and you don't have matching key	宝箱已上锁，等你有钥匙时再回来吧
You don't have a matching key	你没有相配的钥匙
You noticed something	你眼角一转，发现前方有点异常。
search	搜索
You catch fire!	你着火了！
You are paralyzed!	你被麻痹了！
You are poisoned!	你中毒了！
Caustic ooze eats your flesh. Wash away it!	腐蚀污泥正在侵蚀你的身体。快找水洗掉！！！
You can't move!	你无法移动！
You feel weakened!	你感觉自己变虚弱了！
You are blinded!	你暂时瞎了！
You become furious!	你陷入了暴怒！
furious	暴怒
You are charmed!	你被魅惑了！
You are crippled!	你残疾了！
You are bleeding!	你正流血不止！
Everything is spinning around you!	你周围的一切都在旋转！
warrior	战士
mage	法师
rogue	盗贼
huntress	女猎手
Warriors start with 11 points of Strength.	战士起始拥有11点力量。
Warriors start with a unique short sword. This sword can be later "reforged" to upgrade another melee weapon.	战士起始拥有一把独特的短剑， 这把短剑能“重铸”作其他近战武器升级用。
Warriors are less proficient with missile weapons.	战士不擅长于远程武器。
Any piece of food restores some health when eaten.	战士每次进食都会回复少许生命值。
Potions of Strength are identified from the beginning.	力量药水在游戏开始时就已经鉴定好了。
Mages start with a unique Wand of Magic Missile. This wand can be later "disenchanted" to upgrade another wand.	法师初始时拥有一把独特的魔弹法杖。这把法杖在之后能够“褪魔”以升级其他法杖。
Mages recharge their wands faster.	法师能更快地为他的法杖充能。
When eaten, any piece of food restores 1 charge for all wands in the inventory.	法师每次进食都会为他们包裹里的所有的法杖恢复1点充能。
Mages can use wands as a melee weapon.	法师能将法杖作为近战武器使用。
Scrolls of Identify are identified from the beginning.	法师能使用魔法值释放元素咒语。
Rogues start with a Ring of Shadows+1.	盗贼起始拥有一枚+1的暗影戒指。
Rogues identify a type of a ring on equipping it.	盗贼在装备戒指时能自动鉴定其类型。
Rogues are proficient with light armor, dodging better while wearing one.	盗贼穿起轻甲时灵巧得很，将更容易闪避攻击。
Rogues are proficient in detecting hidden doors and traps.	盗贼于侦测隐藏门与陷阱。
Rogues can go without food longer.	盗贼更加耐饿。
Scrolls of Magic Mapping are identified from the beginning.	魔法地图卷轴在游戏开始时就已经鉴定了。
Huntresses start with 15 points of Health.	女猎手起始拥有15点生命值。
Huntresses start with a unique upgradeable boomerang.	女猎手起始拥有一把独等，可升级的回力镖。
Huntresses are proficient with missile weapons and get a damage bonus for excessive strength when using them.	女猎手精通远程武器。使用它们时，她可以获得基于额外力量值的伤害加成。
Huntresses gain more health from dewdrops.	女猎手能从露珠获得更多生命值。
Huntresses sense neighboring monsters even if they are hidden behind obstacles.	女猎手可以隔着障碍物感应到附近隐匿的敌人。
gladiator	角斗士
berserker	狂战士
When severely wounded, the _Berserker_ enters a state of wild fury significantly increasing his damage output.	当_狂战士_严重受伤时，会进入狂暴状态。此状态生效时，其伤害将显著提高。
warlock	术士
After killing an enemy the _Warlock_ consumes its soul. It heals his wounds and satisfies his hunger.	_术士_杀死一个敌人后，会吸取它们的灵魂来治愈自己的伤口和充饥。
battlemage	战斗法师
When fighting with a wand in his hands, the _Battlemage_ inflicts additional damage depending on the current number of charges. Every successful hit restores 1 charge to this wand.	当_战斗法师_挥动手中的法杖时，将造成等同于当前法杖充能数的额外伤害。每次魔法攻击命中将会回复该法杖的1点充能。
assassin	刺客
When performing a surprise attack, the _Assassin_ inflicts additional damage to his target.	_刺客_的奇袭能对敌人造成额外伤害。
freerunner	疾行者
The _Freerunner_ can move almost twice faster, than most of the monsters. When he is running, the Freerunner is much harder to hit. For that he must be unencumbered and not starving.	当_疾行者_处于不负重和不饥肠辘辘的状态下，能以绝大多数怪物两倍的速度移动，奔跑期间，敌人攻击更难命中。
sniper	狙击手
_Snipers_ are able to detect weak points in an enemy's armor, effectively ignoring it when using a missile weapon.	_狙击手_见微知着，能够找出敌人护甲的脆弱点，使用远程武器攻击时，能有效地无视敌人护甲打出伤害。
warden	守望者
Having a strong connection with forces of nature gives _Wardens_ an ability to gather dewdrops and seeds from plants. Also trampling a high grass grants them a temporary armor buff.	跟自然之力强大的联系让_守望者_能从植物中收集露珠和种子，并且在踩踏高草时获得短暂的根甲保护。
Badge endorsed: %s	取得徽章：%s
New super badge: %s	新的超级勋章：%s
New badge: %s	新的徽章：%s
10 enemies slain	消灭10个敌人
50 enemies slain	消灭50个敌人
150 enemies slain	消灭150个敌人
250 enemies slain	消灭250个敌人
100 gold collected	收集100枚金币
