Pixel Dungeon	Pixel Dungeon
Play	Jogar
Highscores	Rankings
About	Sobre
Code & graphics: Watabou\nMusic: Cube_Code\n\nThis game is inspired by Brian Walker's Brogue. Try it on Windows, Mac OS or Linux - it's awesome! ;)\n\nPlease visit official website for additional info:	Código & Gráficos: Watabou\nMúsica: Cube_Code\n\nEste jogo foi inspirado por Brian Walker's Brogue. \nTente também em Windows, Mac OS ou Linux - é incrível! ;)\n\nPor Favor visite o site oficial para mais informações:
pixeldungeon.watabou.ru	pixeldungeon.watabou.ru
Languages Create: rodriformiga	Tradução: rodriformiga
rodriformiga@gmail.com	rodriformiga@gmail.com
Send E-Mail	Enviar E-Mail
Top Rankings	Melhores Rankings
Total games won/played: 	Total jogos ganhos/iniciados: 
No games have been played yet.	Nenhum jogo iniciado.
No additional information	Sem informações adicionais!
Your Badges	Medalhas
Load Game	Carregar Jogo
New Game	Novo Jogo
Erase current game	Apagar jogo atual
Depth: %1$d, level: %2$d	Profund.: %1$d, level: %2$d
Do you really want to start new game?	Você realmente quer começar um novo jogo?
Your current game progress will be erased.	O seu progresso no jogo atual será apagado.
Yes, start new game	Sim, iniciar novo jogo
No, return to main menu	Não, voltar ao menu principal
To unlock this character class, slay the 3rd boss with any other class	Para desbloquear esta classe de personagem, mate o terceiro chefe com qualquer classe de jogador
To unlock "Challenges", win the game with any character class.	Para desbloquear "Desafios", ganhe o jogo com pelo menus uma classe de jogador.
Descending...	Descendo...
Ascending...	Subindo...
Loading...	Carregando...
Resurrecting...	Ressucitando...
Returning...	Retornando...
Falling...	Caindo...
File not found. For some reason...	Arquivo não existe. Por alguma razão...
Something went wrong...	Algo está errado...
Many heroes of all kinds ventured into the Dungeon before you. Some of them have returned with treasures and magical artifacts, most have never been heard of since. But none have succeeded in retrieving the Amulet of Yendor, which is told to be hidden in the depths of the Dungeon.\n\nYou consider yourself ready for the challenge, but most importantly, you feel that fortune smiles on you. It's time to start your own adventure!	Muitos heróis de todos os tipos se aventuraram na caverna antes de você. Alguns deles voltaram com tesouros e artefatos mágicos, mas nunca mais se ouviu falar na maioria deles. E nenhum deles conseguiu recuperar o Amuleto de Yendor, que dizem estar escondido nas profundezas do calabouço.\n\nVocê se considera pronto para o desafio? Mas o mais importante, você sente que a sorte sorri para você? Está na hora de iniciar a sua própria aventura!
Let's call it a day	Foi bom enquanto durou
I'm not done yet	Eu não acabei ainda
You finally hold it in your hands, the Amulet of Yendor. Using its power you can take over the world or bring peace and prosperity to people or whatever. Anyway, your life will change forever and this game will end here. Or you can stay a mere mortal a little longer.	Você finalmente segurou em suas mãos o Amuleto de Yendor. Usando o seu poder, você pode dominar o mundo ou trazer paz e prosperidade para as pessoas ou o que quiser. De qualquer forma, sua vida vai mudar para sempre e este jogo vai terminar aqui. Ou você pode continuar um mero mortal um pouco mais.
Welcome to the level %d of Pixel Dungeon!	Bem-vindo ao nível %d de Pixel Dungeon!
Welcome back to the level %d of Pixel Dungeon!	Bem-vindo de volta ao nível %d de Pixel Dungeon!
Be cautious, since the dungeon is even more dangerous at night!	Seja cauteloso, pois o calabouço é ainda mais perigoso à noite!
Your steps echo across the dungeon.	Seus passos ecoam através do calabouço.
You hear the water splashing around you.	Você ouve o respingos de água ao seu redor.
The smell of vegetation is thick in the air.	O cheiro da vegetação está forte no ar.
The atmosphere hints that this floor hides many secrets.	O ambiente sugere que este piso esconde muitos segredos.
%1$s hit %2$s	%1$s bateu em %2$s
%1$s defeated %2$s	%1$s derrotou %2$s
%1$s %2$s your attack	%1$s %2$s seu ataque
%1$s %2$s %3$s's attack	%1$s %2$s o ataque de %3$s
The pain snapped %s out of paralysis	A dor de %s causou paralisia
dodged	evitou
poisoned	envenenado
amok	fúria
slowed	lento
mind	visão
vision	mental
paralyzed	paralisado
frightened	assustado
rooted	enraizado
crippled	aleijado
bleeding	sangrando
dizzy	confuso
invisible	invisível
you	você
One does not simply leave Pixel Dungeon.	Não é tão simples deixar Pixel Dungeon
level up!	subiu de nível!
Welcome to level %d! Now you are healthier and more focused. It's easier for you to hit enemies and dodge their attacks.	Bem-vindo ao nível %d! Agora você está mais saudável e focado. É mais fácil para você acertar os inimigos e desviar de seus ataques.
You now have %s	Você agora tem %s
There is something else here	Há algo mais aqui
This chest is locked and you don't have matching key	Este baú está bloqueado e você não tem a chave para abri-lo
You don't have a matching key	Você não tem uma chave correspondente
You noticed something	Você notou algo
search	procurar
You catch fire!	Você pegou Fogo!
You are paralyzed!	Você foi paralisado!
You are poisoned!	Você foi envenenado!
Caustic ooze eats your flesh. Wash away it!	Lodo tóxico queima a sua pele. Lave-se!
You can't move!	Você não pode se mover!
You feel weakened!	Você está fraco!
You are blinded!	Você está cego!
You become furious!	Você ficou furioso!
furious	furioso
You are charmed!	Você foi encantado!
You are crippled!	Você está incapacitado!
You are bleeding!	Você está sangrando!
Everything is spinning around you!	Tudo está girando em torno de você!
warrior	guerreiro
mage	mago
rogue	ladrão
huntress	caçadora
Warriors start with 11 points of Strength.	Guerreiros começam com 11 pontos de força.
Warriors start with a unique short sword. This sword can be later "reforged" to upgrade another melee weapon.	Guerreiros começam com uma Espada Curta. Esta espada pode ser "reforjada" para se transformar em outra arma.
Warriors are less proficient with missile weapons.	Guerreiros são menos hábeis com armas de arremesso.
Any piece of food restores some health when eaten.	Qualquer pedaço de comida recupera um pouco de vida quando comidos.
Potions of Strength are identified from the beginning.	Poções de Força são identificadas desde o início.
Mages start with a unique Wand of Magic Missile. This wand can be later "disenchanted" to upgrade another wand.	Magos começam com uma Varinha Míssil Mágico. Esta varinha pode ser "desencantada" para se transformar em outra varinha.
Mages recharge their wands faster.	Magos recarregam suas varinhas mais rápido.
