Pixel Dungeon	Pixel Dungeon
Play	Играть
Highscores	Рекорды
About	Об игре
LibGDX port: Arcnor / Web port: nojus297	LibGDX-порт: Arcnor / веб-порт: nojus297
Telegram port: @barboskich	Telegram-порт: @barboskich
Say thanks	Сказать спасибо
Thank you!	Спасибо!
This is a voluntary tip for the Telegram port. It never affects gameplay.	Это добровольная благодарность за Telegram-порт. Она никак не влияет на игровой процесс.
Support with Telegram Stars	Поддержать в Telegram Stars
Open @barboskich	Открыть @barboskich
Code & graphics: Watabou\nMusic: Cube_Code\n\nThis game is inspired by Brian Walker's Brogue. Try it on Windows, Mac OS or Linux - it's awesome! ;)\n\nPlease visit official website for additional info:	Программирование & графика: Watabou\nМузыка: Cube_Code\n\nРазработчики этой игры вдохновлялись Brogue от Brian Walker. Вы можете сыграть в неё на Windows, Mac OS или Linux - она классная! ;)\n\nПосетите официальный сайт игры для дополнительной информации:
pixeldungeon.watabou.ru	pixeldungeon.watabou.ru
Languages Create: rodriformiga	Перевод: Georgiy Danilov, Mikhael Danilov, rodriformiga
rodriformiga@gmail.com	rodriformiga@gmail.com; nyrdsofficial@gmail.com
Send E-Mail	Отправить E-Mail
Top Rankings	Лучшие Результаты
Total games won/played: 	Всего игр выигранные/сыгранные: 
No games have been played yet.	Вы ещё ни разу не сыграли.
No additional information	Дополнительная информация отсутствует
Your Badges	Заработанные Значки
Load Game	Загрузить Игру
New Game	Новая Игра
Erase current game	Стереть\nтекущую игру
Depth: %1$d, level: %2$d	Глубина: %1$d\nУровень: %2$d
Do you really want to start new game?	Вы точно хотите начать новую игру?
Your current game progress will be erased.	Прогресс текущей игры будет потерян.
Yes, start new game	Да, начать новую игру
No, return to main menu	Нет, вернуться в меню
To unlock this character class, slay the 3rd boss with any other class	Чтобы открыть этот класс персонажа, убейте 3-го босса любым другим классом
To unlock "Challenges", win the game with any character class.	Чтобы открыть "Испытания", пройдите игру любым персонажем.
Descending...	Спускаемся...
Ascending...	Поднимаемся...
Loading...	Загружаемся...
Resurrecting...	Воскрешаемся...
Returning...	Возвращаемся...
Falling...	Падаем...
File not found. For some reason...	Файл не найден. К чему бы это...
Something went wrong...	Что-то пошло не так...
Many heroes of all kinds ventured into the Dungeon before you. Some of them have returned with treasures and magical artifacts, most have never been heard of since. But none have succeeded in retrieving the Amulet of Yendor, which is told to be hidden in the depths of the Dungeon.\n\nYou consider yourself ready for the challenge, but most importantly, you feel that fortune smiles on you. It's time to start your own adventure!	Многие искатели приключений и путешественники спускались в Подземелье до тебя. Некоторые возвращались, наделённые несметными богатствами и волшебными артефактами, но большинство, попусту, сгинуло. Но, никому не удалось заполучить Амулет Эндора, согласно легендам, сокрытый в глубинах Подземелья.\n\nТы чувствуешь, что готов к этому испытанию и, что немаловажно, веришь, что удача на твоей стороне. Пришло время начать своё приключение!
Let's call it a day	Моё дело, здесь, сделано
I'm not done yet	Я, пожалуй, ещё осмотрюсь
You finally hold it in your hands, the Amulet of Yendor. Using its power you can take over the world or bring peace and prosperity to people or whatever. Anyway, your life will change forever and this game will end here. Or you can stay a mere mortal a little longer.	Наконец-то, он в твоих руках, Амулет Эндора. Ты обретёшь могущество, позволяющее покорить всех и вся, или подаришь человечеству мир и процветание, или что-то типа того. В любом случае, твоя жизнь изменится навсегда, а игра на этом завершится. С другой стороны, ты можешь побыть жалким смертным ещё немного.
Welcome to the level %d of Pixel Dungeon!	Добро пожаловать на %d уровень Pixel Dungeon!
Welcome back to the level %d of Pixel Dungeon!	С возвращением на %d уровень Pixel Dungeon!
Be cautious, since the dungeon is even more dangerous at night!	Будь начеку, ведь ночью подземелье куда опаснее!
Your steps echo across the dungeon.	Каждый твой шаг раздаётся эхом по всему подземелью.
You hear the water splashing around you.	Ты слышишь плеск воды поблизости.
The smell of vegetation is thick in the air.	В воздухе витает растительный аромат.
The atmosphere hints that this floor hides many secrets.	Атмосфера таинственности окутывает этот уровень, он полон секретов.
mob	монстр
%1$s hit %2$s	%1$s ударило %2$s
%1$s defeated %2$s	%1$s одолело %2$s
%1$s %2$s your attack	%1$s %2$s от твоей атаки
%1$s %2$s %3$s's attack	%1$s %2$s от атаки монстра %3$s
The pain snapped %s out of paralysis	Боль пробудила %s от паралича
dodged	уклонилось
poisoned	отравлен
amok	буйствует
slowed	замедлен
mind	ясно
vision	видение
paralyzed	парализован
frightened	испуган
rooted	скован
crippled	травмирован
bleeding	кровотечение
dizzy	ошеломлён
invisible	невидимый
you	ты
One does not simply leave Pixel Dungeon.	Нельзя просто так взять и выйти из Pixel Dungeon.
level up!	новый уровень!
Welcome to level %d! Now you are healthier and more focused. It's easier for you to hit enemies and dodge their attacks.	Твой уровень поднялся до %d! Ты окрепчал, а может даже поумнел. Тебе стало проще попадать по врагам и уклоняться от их атак.
You now have %s	Теперь у тебя есть %s
There is something else here	Здесь есть что-то ещё
This chest is locked and you don't have matching key	Сундук закрыт и у тебя нету подходящего ключа
You don't have a matching key	У тебя нету подходящего ключа
You noticed something	Ты что-то заметил
search	поиск
