Play	Play
Highscores	ハイスコア
About	About
LibGDX port: Arcnor / Web port: nojus297	LibGDX移植: Arcnor / Web移植: nojus297
Telegram port: @barboskich	Telegram移植: @barboskich
Say thanks	感謝を伝える
Thank you!	ありがとう！
This is a voluntary tip for the Telegram port. It never affects gameplay.	Telegram移植版への任意の応援です。ゲーム内容には一切影響しません。
Support with Telegram Stars	Telegram Starsで応援
Open @barboskich	@barboskichを開く
Send E-Mail	E-Mail を送る
Top Rankings	トップランキング
Total games won/played: 	プレイしたゲームの合計:
No games have been played yet.	まだゲームをプレイしていません。
No additional information	追加情報はありません
Your Badges	あなたのバッジ
Load Game	Load Game
New Game	New Game
Erase current game	進行中のゲームを消去
Depth: %1$d, level: %2$d	階層: %1$d\nレベル: %2$d
Do you really want to start new game?	本当に新しいゲームを始めたいですか？
Your current game progress will be erased.	現在進行中のゲームが消去されます。
Yes, start new game	はい、新しいゲームを始めます
No, return to main menu	いいえ、メインメニューに戻ります
To unlock this character class, slay the 3rd boss with any other class	このキャラクタークラスをアンロックするには、他のクラスでDM-300を倒す必要があります。
To unlock "Challenges", win the game with any character class.	"挑戦"をアンロックするには、いずれかのキャラクタークラスでゲームをクリアする必要があります。
Descending...	下層へ...
Ascending...	上層へ...
Loading...	ロード中...
Resurrecting...	復活中...
Returning...	帰還中...
Falling...	落下中...
File not found. For some reason...	何らかの理由でファイルが見つかりません...
Something went wrong...	何かが違っています...
Many heroes of all kinds ventured into the Dungeon before you. Some of them have returned with treasures and magical artifacts, most have never been heard of since. But none have succeeded in retrieving the Amulet of Yendor, which is told to be hidden in the depths of the Dungeon.\n\nYou consider yourself ready for the challenge, but most importantly, you feel that fortune smiles on you. It's time to start your own adventure!	ダンジョンには様々な冒険者が先陣を切って進入した。そして、そのうちの何人かは財宝や魔法のアーティファクトを持って帰ってきた。しかし、ダンジョンの奥深くに隠されているという "イェンダーの魔除け"の奪還に成功した者はいない。あなたは挑戦の準備はできていると考えているが、最も重要なのは、幸運があなたに微笑んでいると感じていることだ。さあ、冒険の始まりだ！
Let's call it a day	今日はこれで終わりにしよう
I'm not done yet	まだ終わっていない
You finally hold it in your hands, the Amulet of Yendor. Using its power you can take over the world or bring peace and prosperity to people or whatever. Anyway, your life will change forever and this game will end here. Or you can stay a mere mortal a little longer.	あなたはついにイェンダーの魔除けを手にした。その力を使えば、世界を征服することも、人々に平和と繁栄をもたらすことも、何でもできる。いずれにせよ、あなたの人生は永遠に変わり、このゲームはここで終わる。あるいは、もう少しだけただの人間のままでいることもできる。
Welcome to the level %d of Pixel Dungeon!	ようこそ！ここはRemixed Dungeonの%d階層です！
Welcome back to the level %d of Pixel Dungeon!	おかえり！ここはRemixed Dungeonの %d 階層です！
Be cautious, since the dungeon is even more dangerous at night!	夜のダンジョンはさらに危険なので、用心すること！
Your steps echo across the dungeon.	あなたの足音がダンジョンに響き渡る。
You hear the water splashing around you.	あなたは水の撥ねる音を聞いた。
The smell of vegetation is thick in the air.	草木の匂いが濃い。
The atmosphere hints that this floor hides many secrets.	このフロアには多くの秘密が隠されていそうな雰囲気がある。
mob	敵
%1$s hit %2$s	%1$s は %2$s を攻撃した
%1$s defeated %2$s	%1$s は %2$s を倒した
%1$s %2$s your attack	%1$s %2$sあなたの攻撃
%1$s %2$s %3$s's attack	%1$s %2$s %3$s の攻撃
The pain snapped %s out of paralysis	痛みが%sを麻痺から解き放った
dodged	回避
poisoned	毒化
amok	逆上
slowed	遅滞
mind	精神
vision	透視
