Pixel Dungeon	Pixel Dungeon
Play	Jouer
Highscores	Meilleurs scores
About	A propos
Code & graphics: Watabou\nMusic: Cube_Code\n\nThis game is inspired by Brian Walker's Brogue. Try it on Windows, Mac OS or Linux - it's awesome! ;)\n\nPlease visit official website for additional info:	Code & graphiques: Watabou\nMusic: Cube_Code\n\nCe jeu est inspiré par Brian Walker's Brogue. Essayez-le sur Windows, Mac OS ou Linux - il est génial! ;)\n\nS'il vous plaît visitez le site officiel pour plus d'info:
pixeldungeon.watabou.ru	pixeldungeon.watabou.ru
Languages Create: rodriformiga	Traduction: Rémi Schneider/Emmanuel Dempuré/Bastien/Nikolay/rodriformiga
rodriformiga@gmail.com	rodriformiga@gmail.com
Send E-Mail	Envoyer un E-Mail
Top Rankings	Meilleures parties
Total games won/played: 	Nombre de jeux remportés/joués: 
No games have been played yet.	Aucune partie n'a encore été jouée.
No additional information	Pas d'informations supplémentaires
Your Badges	Vos médailles
Load Game	Charger la partie
New Game	Nouvelle partie
Erase current game	Effacer partie en cours
Depth: %1$d, level: %2$d	Etage: %1$d\nNiveau: %2$d
Do you really want to start new game?	Voulez vous vraiment commencer une nouvelle partie?
Your current game progress will be erased.	Votre progression actuelle sera perdue.
Yes, start new game	Oui, une nouvelle partie
No, return to main menu	Non, retour au menu principal
To unlock this character class, slay the 3rd boss with any other class	Pour débloquer ce personnage, vainquez le 3e boss avec tous les autres personnages
To unlock "Challenges", win the game with any character class.	Pour débloquer les "Défis", finissez le jeu avec n'importe quel personnage.
Descending...	Descente...
Ascending...	Montée...
Loading...	Chargement...
Resurrecting...	Résurrection...
Returning...	Retour...
Falling...	Chute...
File not found. For some reason...	Fichier introuvable. Parce que voilà...
Something went wrong...	Quelque chose n'a pas été...
Many heroes of all kinds ventured into the Dungeon before you. Some of them have returned with treasures and magical artifacts, most have never been heard of since. But none have succeeded in retrieving the Amulet of Yendor, which is told to be hidden in the depths of the Dungeon.\n\nYou consider yourself ready for the challenge, but most importantly, you feel that fortune smiles on you. It's time to start your own adventure!	Bien des héros de tous les horizons se sont aventurés dans le donjon avant vous. Quelques uns en sont ressortis avec des trésors et des artefacts magiques, la plupart n'en sont jamais revenus. Mais aucun d'entre eux n'a réussi à retrouver l'amulette de Yendor, qui serait cachée dans les profondeurs du donjon. Vous vous considérez prêt à relever le défi, mais plus important encore, vous sentez que la chance vous sourit. Il est temps de commencer votre propre aventure !
Let's call it a day	A l'aventure!
I'm not done yet	Je ne suis pas encore prêt
You finally hold it in your hands, the Amulet of Yendor. Using its power you can take over the world or bring peace and prosperity to people or whatever. Anyway, your life will change forever and this game will end here. Or you can stay a mere mortal a little longer.	Vous la tenez enfin dans vos mains, l'amulette de Yendor. En utilisant ses pouvoirs, vous pourriez gouverner le monde ou y apporter la paix et la prospérité. De toutes façons, votre vie sera changée à jamais et ce jeu prendra fin ici. A moins que vous ne préfériez rester un simple mortel pour quelque temps encore.
Welcome to the level %d of Pixel Dungeon!	Bienvenue au %de étage de Pixel Dungeon!
Welcome back to the level %d of Pixel Dungeon!	Re-bienvenue au %de étage de Pixel Dungeon!
Be cautious, since the dungeon is even more dangerous at night!	Soyez prudent, le donjon est encore plus dangereux pendant la nuit!
Your steps echo across the dungeon.	Vos pas résonnent à travers le donjon.
You hear the water splashing around you.	Vous entendez de l'eau éclabousser autour de vous.
The smell of vegetation is thick in the air.	Vous sentez un épais relent de végétation.
The atmosphere hints that this floor hides many secrets.	L'atmosphère de cet endroit vous indique que cet étage vous cache beaucoup de secrets.
mob	ennemi
%1$s hit %2$s	%1$s frappe %2$s
%1$s defeated %2$s	%1$s avez vaincu %2$s
%1$s %2$s your attack	%1$s %2$s votre attaque
%1$s %2$s %3$s's attack	%1$s %2$s l'attaque de %3$s
The pain snapped %s out of paralysis	La douleur libère %s de la paralysie
dodged	esquivé
poisoned	empoisonné
amok	contrôle perdu
slowed	ralenti
paralyzed	paralysé
frightened	effrayé
rooted	enraciné
crippled	estropié
bleeding	hémorragie
dizzy	étourdi
invisible	invisible
you	vous
One does not simply leave Pixel Dungeon.	Personne ne ressort de Pixel Dungeon si facilement.
level up!	Niveau supérieur!
Welcome to level %d! Now you are healthier and more focused. It's easier for you to hit enemies and dodge their attacks.	Bienvenue au niveau %d ! Vous êtes désormais en meilleure santé et plus concentré. Il vous est plus facile de toucher vos ennemis et d'esquiver leurs attaques.
You now have %s	Vous avez %s
There is something else here	Il y a autre chose ici
This chest is locked and you don't have matching key	Ce coffre est verrouillé et vous n'en avez pas la clé
You don't have a matching key	Vous n'avez pas la bonne clé
You noticed something	Vous remarquez quelque chose
search	recherche
You catch fire!	Vous prenez feu!
You are paralyzed!	Vous êtes paralysé!
You are poisoned!	Vous êtes empoisonné!
Caustic ooze eats your flesh. Wash away it!	Le limon caustique vous ronge les chairs. Rincez-le!
You can't move!	Vous ne pouvez pas bouger!
You feel weakened!	Vous vous sentez affaibli!
You are blinded!	Vous êtes aveuglé!
You become furious!	Vous devenez furieux!
furious	furieux
You are charmed!	Vous êtes sous le charme!
You are crippled!	Vous êtes estropié!
You are bleeding!	Vous saignez!
Everything is spinning around you!	Tout tourne autour de vous!
warrior	guerrier
mage	mage
rogue	gredin
huntress	chasseresse
Warriors start with 11 points of Strength.	Les guerriers commencent avec 11 points de force.
Warriors start with a unique short sword. This sword can be later "reforged" to upgrade another melee weapon.	Les guerriers commencent avec une épée courte unique. Celle-ci pourra être "reforgée" pour améliorer une autre arme de mélée.
Warriors are less proficient with missile weapons.	Les guerriers sont moins efficaces avec les armes à distance.
Any piece of food restores some health when eaten.	Chaque ration redonne un peu de santé lors de sa consommation.
Potions of Strength are identified from the beginning.	Les potions de force sont identifiées dès le début.
Mages start with a unique Wand of Magic Missile. This wand can be later "disenchanted" to upgrade another wand.	Les mages commencent avec un unique sceptre de missiles magiques. Celui-ci pourra être "désenchanté" pour améliorer un autre sceptre.
Mages recharge their wands faster.	Les mages rechargent leurs sceptres plus vite.
When eaten, any piece of food restores 1 charge for all wands in the inventory.	Lors de sa consommation, une ration redonnera 1 charge à tous les sceptres de l'inventaire.
Mages can use wands as a melee weapon.	Les mages peuvent utiliser leurs sceptres comme armes de mélée.
Scrolls of Identify are identified from the beginning.	Les parchemins d'identification sont identifiés dès le début.
Rogues start with a Ring of Shadows+1.	Les gredins commencent avec un anneau des ténèbres +1.
Rogues identify a type of a ring on equipping it.	Les gredins identifient le type d'un anneau en l'équipant.
Rogues are proficient with light armor, dodging better while wearing one.	Les gredins sont plus à l'aise avec les armures légères, ils esquivent mieux quand ils en portent une.
Rogues are proficient in detecting hidden doors and traps.	Les gredins détectent plus facilement les pièges et les portes cachées.
Rogues can go without food longer.	Les gredins survivent plus longtemps sans manger.
Scrolls of Magic Mapping are identified from the beginning.	Les parchemins de repérage magique sont identifiés dès le début.
Huntresses start with 15 points of Health.	Les chasseresses ne commencent qu'avec 15 points de vie.
Huntresses start with a unique upgradeable boomerang.	Les chasseresses commencent avec un unique boomerang améliorable.
Huntresses are proficient with missile weapons and get a damage bonus for excessive strength when using them.	Les chasseresses sont douées lors de l'utilisation des armes à distance et font des dommages supplémentaires en fonction de leur force quand elles les utilisent.
Huntresses gain more health from dewdrops.	Les chasseresses gagnent plus de points de vie en buvant la rosée.
Huntresses sense neighboring monsters even if they are hidden behind obstacles.	Les chasseresses détectent les monstres à proximité même s'ils sont cachés par des obstacles.
gladiator	gladiateur
berserker	berzerk
When severely wounded, the _Berserker_ enters a state of wild fury significantly increasing his damage output.	Quand il est sévèrement blessé, le _Berzerker_ entre dans un état de furie sauvage et augmente significativement les dégâts qu'il inflige.
warlock	sorcier
After killing an enemy the _Warlock_ consumes its soul. It heals his wounds and satisfies his hunger.	Après avoir tué un ennemi, le _Sorcier_ consomme son âme. Cela soigne ses blessures et satisfait sa faim.
battlemage	mage de bataille
When fighting with a wand in his hands, the _Battlemage_ inflicts additional damage depending on the current number of charges. Every successful hit restores 1 charge to this wand.	Quand il se bat avec un sceptre à la main, le _Mage de bataille_ inflige des dommages supplémentaires en fonction du nombre de charges du sceptre. Chaque attaque réussie restaure 1 charge à ce sceptre.
assassin	assassin
When performing a surprise attack, the _Assassin_ inflicts additional damage to his target.	Quand il fait une attaque surprise, l'_Assassin_ inflige des dommages supplémentaires à sa cible.
freerunner	coureur
The _Freerunner_ can move almost twice faster, than most of the monsters. When he is running, the Freerunner is much harder to hit. For that he must be unencumbered and not starving.	Le _Coureur_ se déplace presque deux fois plus vite que la plupart des monstres. Quand il court, le coureur est beaucoup plus dur à toucher. Mais pour cela, il ne doit pas être encombré et ne pas être affamé.
_Snipers_ are able to detect weak points in an enemy's armor, effectively ignoring it when using a missile weapon.	Les _Snipers_ sont capables de détecter les points faibles dans l'armure d'un ennemi, ignorant cette protection lors de l'utilisation d'armes à distance.
warden	gardienne
Having a strong connection with forces of nature gives _Wardens_ an ability to gather dewdrops and seeds from plants. Also trampling a high grass grants them a temporary armor buff.	Les _Gardiennes_ ont une forte connexion avec les forces de la nature, ce qui leur donne la possibilité de collecter de la rosée et des graines sur les plantes. Fouler des herbes hautes leur octroie par ailleurs un bonus d'armure temporaire.
Badge endorsed: %s	Médaille obtenue : %s
New super badge: %s	Nouvelle super médaille : %s
New badge: %s	Nouvelle médaille : %s
10 enemies slain	10 ennemis vaincus
50 enemies slain	50 ennemis vaincus
150 enemies slain	150 ennemis vaincus
250 enemies slain	250 ennemis vaincus
100 gold collected	100 pièces d'or collectées
500 gold collected	500 pièces d'or collectées
2500 gold collected	2500 pièces d'or collectées
7500 gold collected	7500 pièces d'or collectées
Level 6 reached	Niveau 6 atteint
Level 12 reached	Niveau 12 atteint
Level 18 reached	Niveau 18 atteint
Level 24 reached	Niveau 24 atteint
All potions identified	Toutes les potions identifiées
All scrolls identified	Tous les parchemins identifiés
All rings identified	Tous les anneaux identifiés"
All wands identified	Tous les sceptres identifiés"
