LibGDX port: Arcnor / Web port: nojus297	LibGDX 포팅: Arcnor / 웹 포팅: nojus297
Telegram port: @barboskich	Telegram 포팅: @barboskich
Say thanks	감사 전하기
Thank you!	감사합니다!
This is a voluntary tip for the Telegram port. It never affects gameplay.	Telegram 포팅을 위한 자발적인 후원입니다. 게임 플레이에는 전혀 영향을 주지 않습니다.
Support with Telegram Stars	Telegram Stars로 후원
Open @barboskich	@barboskich 열기
Sacrificial chamber	희생의 방
Killed by an explosion of a bomb on level %d	%d층에서 폭탄 폭발로 사망
Do you want to respec into %s?	%s(으)로 전직을 바꾸겠습니까?
Yes, I want to respec	네, 전직을 바꾸겠습니다
Maybe later	나중에
Language	언어
Because of frequent use, your %s has broken.	너무 자주 사용해서 %s이(가) 부서졌다.
Because of frequent use, your %s is going to break soon.	너무 자주 사용해서 %s이(가) 곧 부서질 것 같다.
bomb	폭탄
This is a relatively small bomb, filled with black powder. Conveniently, its fuse is lit automatically when the bomb is thrown.	흑색 화약이 든 비교적 작은 폭탄이다. 편리하게도 던지면 도화선에 자동으로 불이 붙는다.
You killed yourself with a bomb...	자신의 폭탄에 목숨을 잃었다…
honeypot	꿀단지
SHATTER	깨뜨린다
There is not much honey in this small honeypot, but there is a golden bee there and it doesn't want to leave it.	이 작은 단지에는 꿀이 별로 없지만, 황금빛 벌 한 마리가 이곳을 떠나려 하지 않는다.
%s of auto-repair	자동 수리의 %s
enchantment of viscosity	점성의 마법
The enchantment of viscosity killed you...	점성의 마법이 당신을 죽였다…
Defered damage (%d)	지연된 피해 (%d)
phantom fish	유령 물고기
broken %s	부서진 %s
Unequip one ring	반지 하나를 해제
Scroll of Enchantment	마법 부여의 주문서
Select an enchantable item	마법을 부여할 물건을 선택
your %s glows in the dark	%s이(가) 어둠 속에서 빛난다
Scroll of Wipe Out	말살의 주문서
You are now familiar enough with your %s.	이제 %s을(를) 충분히 익혔다.
Wand of Reach	손길의 마법 막대
shocking %s	전격의 %s
tempered %s	단련된 %s
"Your sacrifice is worthy..."	"네 희생은 가치가 있다…"
"Your sacrifice is unworthy..."	"네 희생은 가치가 없다…"
"Your sacrifice is worthy and so you are!"	"네 희생은 가치가 있다. 너 역시 그러하다!"
Sacrificial fire burns here. Every creature touched by this fire is marked as an offering for the spirits of the dungeon.	이곳에는 희생의 불꽃이 타오른다. 불꽃에 닿은 모든 생명은 던전의 정령에게 바칠 제물로 낙인찍힌다.
Marked for sacrifice	희생의 표식
Immune to gases	가스 면역
Blinded with rage	분노에 눈이 멀음
Zeroed in	조준 완료
echo of 	메아리치는 
