Play	Gioca
Highscores	Punteggi Migliori
About	Circa
Send E-Mail	Spedisci e-mail
Top Rankings	Migliori Classificati
Total games won/played: 	Partite totali giocate:
No games have been played yet.	Nessuna partita giocata fino ad ora.
No additional information	Nessuna informazione aggiuntiva
Your Badges	Le tue medaglie
Load Game	Carica partita
New Game	Nuova partita
Erase current game	Cancella la partita corrente
Depth: %1$d, level: %2$d	Profondità: %1$d\nLivello: %2$d
Do you really want to start new game?	Vuoi veramente iniziare una nuova partita?
Your current game progress will be erased.	I progressi della tua partita corrente saranno cancellati.
Yes, start new game	Si, inizia una nuova partita
No, return to main menu	No, ritorna al menù principale
To unlock this character class, slay the 3rd boss with any other class	Per sbloccare questa classe di personaggio, sconfiggi il boss DM-300 con qualsiasi altra classe.
To unlock "Challenges", win the game with any character class.	Per sbloccare "Sfide", vinci il gioco con qualsiasi altra classe 
Descending...	Scendendo...
Ascending...	Salendo...
Loading...	Caricamento...
Resurrecting...	Risorgendo...
Returning...	Ritornando...
Falling...	Cadendo...
File not found. For some reason...	File non trovato. Per qualche ragione...
Something went wrong...	Qualcosa è andato storto...
Many heroes of all kinds ventured into the Dungeon before you. Some of them have returned with treasures and magical artifacts, most have never been heard of since. But none have succeeded in retrieving the Amulet of Yendor, which is told to be hidden in the depths of the Dungeon.\n\nYou consider yourself ready for the challenge, but most importantly, you feel that fortune smiles on you. It's time to start your own adventure!	Molti eroi di ogni genere si sono avventurati nel Dungeon prima di te. Qualcuno di questi è tornato con tesori e artefatti magici, della maggior parte non si è più sentito parlare. Ma nessuno è riuscito nell'impresa di rinvenire l'Amuleto di Yendor, che si dice essere nascosto nelle profondità del Dungeon.\n\nTi credi pronto per ls sfida, ma ancora più importante, credi che la fortuna ti sorrida. È tempo di iniziare la tua personale avventura.
Let's call it a day	E' abbastanza per oggi
I'm not done yet	Non ho ancora finito
You finally hold it in your hands, the Amulet of Yendor. Using its power you can take over the world or bring peace and prosperity to people or whatever. Anyway, your life will change forever and this game will end here. Or you can stay a mere mortal a little longer.	Finalmente lo brandisci, l'Amuleto di Yendor. Con il suo potere puoi dominare il mondo e portare pace e prosperità ai popoli e roba del genere. In ogni caso, la tua vita cambierà per sempre e questo gioco finirà qui. Oppure puoi rimanere un mero mortale per poco più.
Be cautious, since the dungeon is even more dangerous at night!	Fai attenzione, il Dungeon è ancora più pericoloso di notte!
Your steps echo across the dungeon.	I tuoi passi riecheggiano nel dungeon.
You hear the water splashing around you.	Puoi udire l'acqua intorno a te.
The smell of vegetation is thick in the air.	L'odore di vegetazione è acuto nell'aria.
The atmosphere hints that this floor hides many secrets.	L'atmosfera suggerisce che il piano nasconda diversi segreti.
%1$s hit %2$s	%1$s colpisce %2$s
%1$s defeated %2$s	%1$s ha sconfitto %2$s
%1$s %2$s your attack	%1$s %2$s il tuo attacco
%1$s %2$s %3$s's attack	%1$s %2$s l'attacco di %3$s
