LibGDX port: Arcnor / Web port: nojus297	LibGDX 移植：Arcnor / 网页移植：nojus297
Telegram port: @barboskich	Telegram 移植：@barboskich
Say thanks	表示感谢
Thank you!	谢谢！
This is a voluntary tip for the Telegram port. It never affects gameplay.	这是对 Telegram 移植版的自愿赞助，绝不会影响游戏体验。
Support with Telegram Stars	使用 Telegram Stars 支持
Open @barboskich	打开 @barboskich
Sacrificial chamber	献祭密室
Killed by an explosion of a bomb on level %d	死于第%d层的炸弹爆炸
Do you want to respec into %s?	要转职为%s吗？
Yes, I want to respec	是的，我要重新转职
Maybe later	以后再说
Language	语言
Because of frequent use, your %s has broken.	由于频繁使用，你的%s已经损坏。
Because of frequent use, your %s is going to break soon.	由于频繁使用，你的%s即将损坏。
bomb	炸弹
This is a relatively small bomb, filled with black powder. Conveniently, its fuse is lit automatically when the bomb is thrown.	这是一枚装满黑火药的小型炸弹。很方便的是，投出炸弹时引线会自动点燃。
You killed yourself with a bomb...	你被自己的炸弹炸死了……
honeypot	蜂蜜罐
SHATTER	打碎
There is not much honey in this small honeypot, but there is a golden bee there and it doesn't want to leave it.	这个小罐里没剩多少蜂蜜，不过里面住着一只不愿离开的金色蜜蜂。
%s of auto-repair	自动修复%s
enchantment of viscosity	粘滞附魔
The enchantment of viscosity killed you...	粘滞附魔杀死了你……
phantom fish	幻影鱼
broken %s	损坏的%s
Unequip one ring	摘下一枚戒指
Scroll of Enchantment	附魔卷轴
Select an enchantable item	选择一件可附魔的物品
your %s glows in the dark	你的%s在黑暗中泛起微光
Scroll of Wipe Out	灭绝卷轴
You are now familiar enough with your %s.	你已经完全熟悉了自己的%s。
Wand of Reach	牵引法杖
shocking %s	电击%s
tempered %s	淬炼%s
vampiric %s	吸血%s
"Your sacrifice is worthy..."	“你的祭品很有价值……”
"Your sacrifice is unworthy..."	“你的祭品毫无价值……”
"Your sacrifice is worthy and so you are!"	“你的祭品很有价值，而你也是！”
Sacrificial fire burns here. Every creature touched by this fire is marked as an offering for the spirits of the dungeon.	献祭之火在此燃烧。任何触碰火焰的生物都会被标记，成为献给地牢之灵的祭品。
Marked for sacrifice	献祭标记
Immune to gases	免疫气体
Blinded with rage	怒火遮眼
Zeroed in	锁定目标
echo of 	回响·
curse personification	诅咒化身
DM-350	DM-350
spawn of Goo	黏咕的造物
King of Dwarves	矮人国王
undead King of Dwarves	亡灵矮人国王
memory of Tengu	天狗的记忆
echo of Yog-Dzewa	Yog-Dzewa的回响
Yes, I will do it for you	好，我会帮你
No, I can't help you	不，我帮不了你
Any luck with a _phantom fish_, %s? You may want to try searching for it in one of the local pools.	找到_幻影鱼_了吗，%s？你可以去附近的水池里找找。
As you try to read the sign it bursts into greenish flames.	你刚想阅读告示，它便燃起了幽绿色的火焰。
