Play	Main
Highscores	Nilai Tertinggi
About	Tentang
Send E-Mail	Kirim E-Mail
Top Rankings	Peringkat Teratas
Total games won/played: 	Total bermain:
No games have been played yet.	Belum ada permainan di mainkan.
No additional information	Tidak ada informasi tambahan
Your Badges	Medali Anda
Load Game	Muat Permainan
New Game	Permainan Baru
Erase current game	Hapus permainan saat ini
Depth: %1$d, level: %2$d	Kedalaman: %1$d\nTingkat: %2$d
Do you really want to start new game?	Apa anda yakin memulai permainan baru?
Your current game progress will be erased.	Permainan kamu saat ini akan di hapus.
Yes, start new game	Iya, mulai permainan baru
No, return to main menu	tidak, kembali ke menu utama
To unlock this character class, slay the 3rd boss with any other class	Untuk membuka kelas karakter ini, bunuh bos DM-300 dengan kelas lainnya
To unlock "Challenges", win the game with any character class.	Untuk membuka "Tantangan", menangkan permainan dengan karakter kelas apapun
Descending...	Menurun...
Ascending...	Memanjat...
Loading...	Memuat...
Resurrecting...	Membangkitkan...
Returning...	Kembali...
Falling...	Jatuh...
File not found. For some reason...	Berkas tidak di temukan. Untuk beberapa alasan...
Something went wrong...	Ada yang salah...
Many heroes of all kinds ventured into the Dungeon before you. Some of them have returned with treasures and magical artifacts, most have never been heard of since. But none have succeeded in retrieving the Amulet of Yendor, which is told to be hidden in the depths of the Dungeon.\n\nYou consider yourself ready for the challenge, but most importantly, you feel that fortune smiles on you. It's time to start your own adventure!	Banyak pahlawan dari semua jenis berkelana ke Dungeon sebelum Anda. Beberapa dari mereka telah kembali dengan harta karun dan artefak magis, sebagian besar tidak pernah terdengar lagi sejak itu. Tapi tidak ada yang berhasil mengambil Jimat Yendor, yang diceritakan tersembunyi di kedalaman Dungeon.\n\nAnda menganggap diri Anda siap untuk tantangan, tetapi yang paling penting, Anda merasa keberuntungan tersenyum pada Anda. Saatnya untuk memulai petualangan Anda sendiri!
Let's call it a day	Selesai sudah
I'm not done yet	Saya belum selesai
You finally hold it in your hands, the Amulet of Yendor. Using its power you can take over the world or bring peace and prosperity to people or whatever. Anyway, your life will change forever and this game will end here. Or you can stay a mere mortal a little longer.	Anda akhirnya mendapatkannya di tangan Anda, Jimat Yendor. Menggunakan kekuatannya Anda dapat mengambil alih dunia atau membawa damai dan kemakmuran ke orang-orang atau apapun juga. Lagipula, hidup Anda akan berubah selamanya dan permainan ini berakhir di sini. Atau Anda dapat tinggal di sini lebih lama sedikit.
Welcome to the level %d of Pixel Dungeon!	Selamat datang ditingkat %d dari Remixed Dungeon!
