Pixel Dungeon	Pixel Dungeon
Play	Spielen
Highscores	Rekorde
About	Über
Code & graphics: Watabou\nMusic: Cube_Code\n\nThis game is inspired by Brian Walker's Brogue. Try it on Windows, Mac OS or Linux - it's awesome! ;)\n\nPlease visit official website for additional info:	Code & Grafik: Watabou\nMusik: Cube_Code\n\nDieses Spiel wird von Brian Walker brogue inspiriert. Versuchen Sie es auf Windows, Mac OS oder Linux - Es ist toll! :)\n\nBitte besuchen offiziellen Website für weitere Informationen:
pixeldungeon.watabou.ru	pixeldungeon.watabou.ru
Languages Create: rodriformiga	Übersetzung: rodriformiga, Sarius
rodriformiga@gmail.com	rodriformiga@gmail.com
Send E-Mail	Sende eine E-Mail
Top Rankings	Spitzenplatzierungen
Total games won/played: 	Insgesamt Spiele gewonnen/gespielt: 
No games have been played yet.	Es wurden bisher keine Spiele gespielt.
No additional information	Keine zusätzlichen Informationen
Your Badges	Deine Medaillen
Load Game	Spiel laden
New Game	Neues Spiel
Erase current game	Aktuelles Spiel löschen
Depth: %1$d, level: %2$d	Tiefe: %1$d, level: %2$d
Do you really want to start new game?	Willst du wirklich ein neues Spiel starten?
Your current game progress will be erased.	Dein aktueller Spielfortschritt wird gelöscht.
Yes, start new game	Ja, starte ein neues Spiel
No, return to main menu	Nein, kehr zum Hauptmenü zurück
To unlock this character class, slay the 3rd boss with any other class	Um diese Klasse freizuschalten, besiege den 3. Endgegner mit einer beliebigen anderen Klasse
To unlock "Challenges", win the game with any character class.	Um "Herausforderungen" freizuschalten, gewinne das Spiel mit einer beliebigen Klasse.
Descending...	Absteigen...
Ascending...	Aufsteigen...
Loading...	Laden...
Resurrecting...	Wiederbeleben...
Returning...	Zurückkehren...
Falling...	Fallen...
File not found. For some reason...	Datei nicht gefunden, aus irgendeinem Grund...
Something went wrong...	Irgendwas ist schief gelaufen...
Many heroes of all kinds ventured into the Dungeon before you. Some of them have returned with treasures and magical artifacts, most have never been heard of since. But none have succeeded in retrieving the Amulet of Yendor, which is told to be hidden in the depths of the Dungeon.\n\nYou consider yourself ready for the challenge, but most importantly, you feel that fortune smiles on you. It's time to start your own adventure!	Viele Helden aller Art wagte sich in die Kerker, bevor Sie. Einige von ihnen haben mit Schätze und magische Artefakte zurückkehrte, die meisten haben noch nie von ihm gehört. Aber keine haben beim Abrufen das Amulett der Yendor, die gesagt wird, um in den Tiefen des Dungeon versteckt werden konnten.\n\nSie halten sich für die Herausforderung bereit, aber am wichtigsten ist, fühlen Sie sich, dass das Glück lächelt über dir. Es ist Zeit, Ihr eigenes Abenteuer zu beginnen!
Let's call it a day	Feierabend!
I'm not done yet	Ich bin noch nicht fertig
You finally hold it in your hands, the Amulet of Yendor. Using its power you can take over the world or bring peace and prosperity to people or whatever. Anyway, your life will change forever and this game will end here. Or you can stay a mere mortal a little longer.	Sie halten es endlich in den Händen, das Amulett der Yendor. Basierend auf seinen Strom können Sie auf der ganzen Welt oder mit Frieden und Wohlstand zu bringen, um Menschen oder was auch immer. Sowieso wird Ihr Leben für immer verändern und dieses Spiel zu Ende. Oder Sie können ein Sterblicher ein wenig länger bleiben.
Welcome to the level %d of Pixel Dungeon!	Willkommen im %d. Level von Pixel Dungeon!
Welcome back to the level %d of Pixel Dungeon!	Willkommen zurück im %d. Level von Pixel Dungeon!
Be cautious, since the dungeon is even more dangerous at night!	Vorsicht! Der Kerker ist nachts sogar noch gefährlicher!
Your steps echo across the dungeon.	Das Echo deiner Schritte hallt durch den Kerker.
