Pixel Dungeon	Pixel Dungeon
Play	Graj
Highscores	Rekordy
About	o Grze
Code & graphics: Watabou\nMusic: Cube_Code\n\nThis game is inspired by Brian Walker's Brogue. Try it on Windows, Mac OS or Linux - it's awesome! ;)\n\nPlease visit official website for additional info:	Kod & grafika: Watabou\nMuzyka: Cube_Code\n\nTa gra jest inspirowana akcentem Brian Walker's. Wypróbuj Windows, Mac OS i Linux - to jest zajebiste!\n\nZapraszamy do odwiedzenia oficjalnej strony o dodatkowe informacje:
pixeldungeon.watabou.ru	pixeldungeon.watabou.ru
Languages Create: rodriformiga	Tłumaczenie: Łukasza Piętki, rodriformiga
rodriformiga@gmail.com	tramer008@gmail.com; rodriformiga@gmail.com
Send E-Mail	Wyślij e-mail
Top Rankings	Najlepsi z Najlepszych
Total games won/played: 	Wszystkich Mecze wygrane/Rozegrane: 
No games have been played yet.	Nie zagrano jeszcze ani razu
No additional information	Brak dodatkowych informacji
Your Badges	Twoje Odznaczenia
Load Game	Wczytaj Grę
New Game	Nowa Gra
Erase current game	Usuń aktualna grę
Depth: %1$d, level: %2$d	Głębokość: %1$d\nPoziom: %2$d
Do you really want to start new game?	Czy na pewno chcesz rozpocząć nową grę?
Your current game progress will be erased.	Twoja obecna gra zostanie usunięta.
Yes, start new game	Tak, zacznij nową grę
No, return to main menu	Nie, wróć do menu głównego
To unlock this character class, slay the 3rd boss with any other class	By odblokować tę klasę postaci, pokonaj trzeciego bossa jakąkolwiek inną postacią
To unlock "Challenges", win the game with any character class.	Aby odblokować "Wyzwania", przejdź grę jakąkolwiek postacią.
Descending...	Zejście...
Ascending...	Wejście...
Loading...	Ładowanie
Resurrecting...	Zmartwychwstanie...
Returning...	Powrót...
Falling...	Upadek...
File not found. For some reason...	Z jakiegoś powodu plik nie może zostać odnaleziony...
Something went wrong...	Coś poszło źle...
Many heroes of all kinds ventured into the Dungeon before you. Some of them have returned with treasures and magical artifacts, most have never been heard of since. But none have succeeded in retrieving the Amulet of Yendor, which is told to be hidden in the depths of the Dungeon.\n\nYou consider yourself ready for the challenge, but most importantly, you feel that fortune smiles on you. It's time to start your own adventure!	Wielu bohaterów każdego rodzaju udało się w podróż do Lochu przed tobą. Niektórzy z nich powrócili przynosząc ze sobą skarby i magiczne artefakty, lecz o większości już nigdy więcej nie słyszano. Ale nikomu jeszcze się nie udało zdobyć Amuletu Yendoru, który o ile wiadomo spoczywa w głębiach Lochu.\n\nUważasz, że jesteś gotowy podjąć to wyzwanie, ale co najważniejsze, czujesz że fortuna uśmiecha się do ciebie. Czas rozpocząć własną przygodę!
Let's call it a day	Powiedzmy, że zostanę tu jeszcze dzień...
I'm not done yet	Jeszcze nie skończyłem
You finally hold it in your hands, the Amulet of Yendor. Using its power you can take over the world or bring peace and prosperity to people or whatever. Anyway, your life will change forever and this game will end here. Or you can stay a mere mortal a little longer.	W końcu trzymasz go w swych dłoniach. Amulet Yendora należy do ciebie! Używając jego mocy możesz objąć panowanie nad światem, przynieść pokój i dobrobyt mieszkańcom Powierzchni lub cokolwiek innego. W każdym razie, twoje życie odmieniło się na zawsze i ta gra kończy się tutaj. Albo możesz zostać tutaj jako śmiertelnik nieco dłużej.
Welcome to the level %d of Pixel Dungeon!	Witaj na poziomie %d gry Pixel Dungeon!
Be cautious, since the dungeon is even more dangerous at night!	Zachowaj ostrożność! Loch jest jeszcze bardziej niebezpieczny w nocy!
Your steps echo across the dungeon.	Dźwięk twych kroków roznosi się echem po lochu.
You hear the water splashing around you.	Słyszysz plusk wody wokół ciebie.
The smell of vegetation is thick in the air.	Zapach roślinności jest silny w powietrzu.
The atmosphere hints that this floor hides many secrets.	Atmosfera podpowiada, że ten poziom skrywa wiele sekretów.
%1$s defeated %2$s	%1$s pokonany %2$s
%1$s %2$s your attack	%1$s %2$s twój atak
%1$s %2$s %3$s's attack	%1$s %2$s atak %3$s
The pain snapped %s out of paralysis	Ból sprawił, że %s został wyrwany z paraliżu
dodged	unik
poisoned	zatruty
slowed	spowolniony
mind	telepatyczna
vision	wizja
paralyzed	sparaliżowany
frightened	przestraszony
rooted	przygwożdżony
crippled	sponiewierany
bleeding	krwawienie
dizzy	otumaniony
invisible	niewidzialny
you	Ty
One does not simply leave Pixel Dungeon.	Jeden drogą prostą nie wychodzi z Pixel Dungeon!
level up!	Awans!
Welcome to level %d! Now you are healthier and more focused. It's easier for you to hit enemies and dodge their attacks.	Gratuluje awansu na poziom %d! Teraz jesteś zdrowszy i bardziej skoncentrowany. Teraz jeszcze łatwiej będziesz atakował wrogów, oraz unikał ich ciosów.
