LibGDX port: Arcnor / Web port: nojus297	Port LibGDX: Arcnor / port web: nojus297
Telegram port: @barboskich	Port Telegram: @barboskich
Welcome to the level %d of Pixel Dungeon!	Benvenuto al livello %d di Pixel Dungeon!
Welcome back to the level %d of Pixel Dungeon!	Bentornato al livello %d di Pixel Dungeon!
One does not simply leave Pixel Dungeon.	Non si esce semplicemente da Pixel Dungeon.
Exit Game	Esci dal gioco
\n\nThis beacon was set somewhere on the level %d of Pixel Dungeon.	\n\nQuesto faro è stato posizionato da qualche parte nel livello %d di Pixel Dungeon.
Eating the seed triggers its effect immediately.	Mangiare il seme attiva immediatamente l'effetto della pianta.
Tip: Long-press the wait button to rest until something interrupts you.	Suggerimento: Tieni premuto il pulsante di attesa per riposare finché qualcosa non ti interrompe.
Tip: Long-press the backpack to open the item catalog.	Suggerimento: Tieni premuto lo zaino per aprire il catalogo degli oggetti.
Tip: Doors and tall grass can break an enemy's line of sight.	Suggerimento: Le porte e l'erba alta possono interrompere la linea di vista di un nemico.
Tip: Throw seeds onto empty tiles to grow useful plants.	Suggerimento: Lancia i semi sulle caselle vuote per far crescere piante utili.
Tip: Search suspicious walls to discover hidden doors and traps.	Suggerimento: Esamina le pareti sospette per scoprire porte nascoste e trappole.
Tip: Examining an enemy reveals useful combat information.	Suggerimento: Esaminare un nemico rivela informazioni utili per il combattimento.
HP: %d/%d\nAccuracy: %d  Evasion: %d\nProtection: 0-%d	PV: %d/%d\nPrecisione: %d  Schivata: %d\nProtezione: 0-%d
Select Your Hero	Scegli il tuo eroe
Game Over	Partita finita
Boss slain	Boss sconfitto
Sacrificial chamber	Camera sacrificale
Killed by an explosion of a bomb on level %d	Ucciso dall'esplosione di una bomba al livello %d
Do you want to respec into %s?	Vuoi cambiare specializzazione in %s?
Yes, I want to respec	Sì, voglio cambiare specializzazione
Maybe later	Forse più tardi
Language	Lingua
Because of frequent use, your %s has broken.	A causa dell'uso frequente, il tuo %s si è rotto.
Because of frequent use, your %s is going to break soon.	A causa dell'uso frequente, il tuo %s sta per rompersi.
bomb	bomba
This is a relatively small bomb, filled with black powder. Conveniently, its fuse is lit automatically when the bomb is thrown.	Una bomba piuttosto piccola, piena di polvere nera. Per fortuna, la miccia si accende da sola quando la bomba viene lanciata.
You killed yourself with a bomb...	Ti sei ucciso con una bomba...
honeypot	vasetto di miele
SHATTER	ROMPI
There is not much honey in this small honeypot, but there is a golden bee there and it doesn't want to leave it.	In questo vasetto non c'è molto miele, ma c'è un'ape dorata che non vuole proprio andarsene.
%s of auto-repair	%s autoriparante
enchantment of viscosity	incantamento della viscosità
The enchantment of viscosity killed you...	L'incantamento della viscosità ti ha ucciso...
phantom fish	pesce fantasma
broken %s	%s rotto
Unequip one ring	Togli un anello
Scroll of Enchantment	Pergamena dell'Incantamento
Select an enchantable item	Seleziona un oggetto incantabile
your %s glows in the dark	la tua %s risplende nell'oscurità
Scroll of Wipe Out	Pergamena dell'Annientamento
You are now familiar enough with your %s.	Ora conosci abbastanza bene il tuo %s.
Wand of Reach	Bacchetta della Portata
shocking %s	%s folgorante
tempered %s	%s temprato
"Your sacrifice is worthy..."	"Il tuo sacrificio è degno..."
"Your sacrifice is unworthy..."	"Il tuo sacrificio non è degno..."
"Your sacrifice is worthy and so you are!"	"Il tuo sacrificio è degno, e lo sei anche tu!"
Sacrificial fire burns here. Every creature touched by this fire is marked as an offering for the spirits of the dungeon.	Qui arde un fuoco sacrificale. Ogni creatura toccata dalle fiamme viene consacrata agli spiriti del dungeon.
Marked for sacrifice	Segnato per il sacrificio
Immune to gases	Immune ai gas
Blinded with rage	Accecato dalla rabbia
Zeroed in	Nel mirino
echo of 	eco di 
curse personification	incarnazione della maledizione
DM-350	DM-350
spawn of Goo	progenie di Goo
King of Dwarves	Re dei Nani
undead King of Dwarves	Re non morto dei Nani
memory of Tengu	ricordo di Tengu
echo of Yog-Dzewa	eco di Yog-Dzewa
Yes, I will do it for you	Sì, lo farò per te
No, I can't help you	No, non posso aiutarti
Any luck with a _phantom fish_, %s? You may want to try searching for it in one of the local pools.	Hai avuto fortuna con il _pesce fantasma_, %s? Prova a cercarlo in una delle pozze qui vicino.
As you try to read the sign it bursts into greenish flames.	Non appena provi a leggere il cartello, questo divampa in fiamme verdastre.
You can spend your gold in shops on deeper levels of the dungeon. The first one is on the 6th level.	Puoi spendere l'oro nei negozi dei livelli più profondi. Il primo si trova al 6º livello.
If you are burning, you can't put out the fire in the water while levitating.	Se stai bruciando, non puoi spegnere il fuoco nell'acqua mentre leviti.
