Play	Грати
Highscores	Рекорди
About	Про гру
Send E-Mail	Відправити E-Mail
Top Rankings	Кращі результати
Total games won/played: 	Всього ігор зіграно:
No games have been played yet.	Жодної гри ще не зіграно.
No additional information	Додаткова інформація відсутня
Your Badges	Твої значки
Load Game	Завантажити гру
New Game	Нова гра
Erase current game	Стерти поточну гру
Depth: %1$d, level: %2$d	Глибина: %1$d\nРівень: %2$d
Do you really want to start new game?	Ти справді бажаєш розпочати нову гру?
Your current game progress will be erased.	Твій поточний ігровий прогрес буде втрачено.
Yes, start new game	Так, розпочати нову гру
No, return to main menu	Ні, повернутися до головного меню
To unlock this character class, slay the 3rd boss with any other class	Щоб розблокувати цей клас персонажа, переможи боса DM-300 будь-яким іншим класом
To unlock "Challenges", win the game with any character class.	Щоб відкрити "Випробування", пройдіть гру будь-яким персонажем.
Descending...	Спускаємося...
Ascending...	Піднімаємося...
Loading...	Завантажуємося...
Resurrecting...	Воскрешаємося...
Returning...	Повертаємося...
Falling...	Падаємо...
File not found. For some reason...	Файл не знайдено. До чого б це...
Something went wrong...	Щось пішло не так...
Many heroes of all kinds ventured into the Dungeon before you. Some of them have returned with treasures and magical artifacts, most have never been heard of since. But none have succeeded in retrieving the Amulet of Yendor, which is told to be hidden in the depths of the Dungeon.\n\nYou consider yourself ready for the challenge, but most importantly, you feel that fortune smiles on you. It's time to start your own adventure!	Багато шукачів пригод та мандрівників спускалися у підземелля до тебе. Деякі поверталися, наділені незліченими багатствами й чарівними артефактами, але більшість даремно загинула. Але нікому не вдалося здобути Амулет Ендора, за легендами, прихований у глибинах підземелля.\n\nТи відчуваєш, що готовий до цього іспиту та й, що досить важливо, ти віриш, що удача на твоєму боці. Настав час почати свою пригоду!
Let's call it a day	Мою справу тут зроблено.
I'm not done yet	Я, мабуть, ще оглянуся навколо.
You finally hold it in your hands, the Amulet of Yendor. Using its power you can take over the world or bring peace and prosperity to people or whatever. Anyway, your life will change forever and this game will end here. Or you can stay a mere mortal a little longer.	Нарешті він у твоїх руках, Амулет Ендора. Ти отримаєш могутність, яка дозволить підкорити всіх і вся, чи подаруєш людству мир та процвітання, чи щось схоже на це. У будь-якому разі, твоє життя зміниться назавжди, а гра на цьому закінчиться. З іншого боку, ти маєш можливість ще трохи побути жалюгідним смертним.
Welcome to the level %d of Pixel Dungeon!	Ласкаво просимо на %d рівні Remixed Dungeon!
Welcome back to the level %d of Pixel Dungeon!	З поверненням на %d рівень Remixed Dungeon!
Be cautious, since the dungeon is even more dangerous at night!	Будь напоготові, адже вночі підземелля набагато небезпечніше!
Your steps echo across the dungeon.	Кожний твій крок лунає по всьому підземеллю.
You hear the water splashing around you.	Ти чуєш плескіт води поблизу.
The smell of vegetation is thick in the air.	У повітрі відчувається запах рослин.
The atmosphere hints that this floor hides many secrets.	Атмосфера таємничості огортає цей поверх, він сповнений таємниць.
mob	монстр
%1$s %2$s your attack	%1$s %2$s від твоєї атаки
%1$s %2$s %3$s's attack	%1$s %2$s від атаки монстра %3$s
The pain snapped %s out of paralysis	Біль звільняє %s від паралічу
poisoned	отруєний
amok	буяє
slowed	сповільнений
mind	ясно
vision	бачення
paralyzed	паралізований
frightened	зляканий
rooted	пустив коріння
crippled	травмований
bleeding	кровотеча
dizzy	приголомшений
invisible	невидимий
you	ти
One does not simply leave Pixel Dungeon.	Не так просто залишити Remixed Dungeon.
level up!	новий рівень!
Welcome to level %d! Now you are healthier and more focused. It's easier for you to hit enemies and dodge their attacks.	Тепер твій рівень: %d! Твоя сила зросла, покращилась витривалість та вправність. Стало легше ухилятися від ворогів, а також влучати по них.
You now have %s	Отримано предмет: %s
There is something else here	Тут є ще щось
This chest is locked and you don't have matching key	Ця скриня замкнена, і в тебе немає ключа
You don't have a matching key	В тебе немає відповідного ключа.
You noticed something	Ти щось помітив
search	пошук
You catch fire!	Тебе охопив вогонь!
You are paralyzed!	Тебе паралізовано!
You are poisoned!	Тебе отруєно!
Caustic ooze eats your flesh. Wash away it!	Їдкий мул роз'їдає твою плоть. Змий його!
You can't move!	Ти не здатен поворухнутись!
You feel weakened!	Тебе послаблено!
You are blinded!	Тебе осліплено!
You become furious!	Тебе розлютили!
furious	лють
You are charmed!	Тебе зачаровано!
You are crippled!	Тебе скалічено!
You are bleeding!	Ти спливаєш кров'ю!
Everything is spinning around you!	У тебе паморочиться в голові!
warrior	воїн
