LibGDX port: Arcnor / Web port: nojus297	LibGDX移植: Arcnor / Web移植: nojus297
Telegram port: @barboskich	Telegram移植: @barboskich
Say thanks	感謝を伝える
Thank you!	ありがとう！
This is a voluntary tip for the Telegram port. It never affects gameplay.	Telegram移植版への任意の応援です。ゲーム内容には一切影響しません。
Support with Telegram Stars	Telegram Starsで応援
Open @barboskich	@barboskichを開く
Sacrificial chamber	生贄の間
Killed by an explosion of a bomb on level %d	%d階で爆弾の爆発に巻き込まれて死亡
Do you want to respec into %s?	専門を%sに変更しますか？
Yes, I want to respec	はい、専門を変更する
Maybe later	また後で
Language	言語
Because of frequent use, your %s has broken.	使い込みすぎて、%sは壊れてしまった。
Because of frequent use, your %s is going to break soon.	使い込みすぎて、%sはもうすぐ壊れそうだ。
bomb	爆弾
This is a relatively small bomb, filled with black powder. Conveniently, its fuse is lit automatically when the bomb is thrown.	黒色火薬を詰めた、比較的小さな爆弾だ。ありがたいことに、投げると導火線へ自動で火がつく。
You killed yourself with a bomb...	自分の爆弾で自爆した…
honeypot	蜂蜜壺
SHATTER	叩き割る
There is not much honey in this small honeypot, but there is a golden bee there and it doesn't want to leave it.	小さな壺に蜂蜜はあまり残っていないが、金色の蜂が一匹、ここを離れまいとしている。
%s of auto-repair	自己修復の%s
enchantment of viscosity	粘性の付与魔法
The enchantment of viscosity killed you...	粘性の付与魔法に殺された…
phantom fish	幻影魚
broken %s	壊れた%s
Unequip one ring	指輪を一つ外す
Scroll of Enchantment	付与の巻物
Select an enchantable item	魔法を付与するアイテムを選択
your %s glows in the dark	%sが闇の中で輝いた
Scroll of Wipe Out	殲滅の巻物
You are now familiar enough with your %s.	%sの扱いにはもう十分慣れた。
Wand of Reach	引き寄せの杖
shocking %s	電撃の%s
tempered %s	鍛錬された%s
"Your sacrifice is worthy..."	「その生贄には価値がある…」
"Your sacrifice is unworthy..."	「その生贄には価値がない…」
"Your sacrifice is worthy and so you are!"	「その生贄には価値がある。お前自身にもな！」
Sacrificial fire burns here. Every creature touched by this fire is marked as an offering for the spirits of the dungeon.	ここには生贄の炎が燃えている。この炎に触れた者は皆、ダンジョンの精霊への供物として印を刻まれる。
Marked for sacrifice	生贄の印
Immune to gases	気体への耐性
Blinded with rage	怒りで我を忘れている
Zeroed in	照準済み
echo of 	残響・
curse personification	呪いの化身
DM-350	DM-350
spawn of Goo	グゥの落とし子
King of Dwarves	ドワーフの王
undead King of Dwarves	不死のドワーフ王
memory of Tengu	天狗の記憶
echo of Yog-Dzewa	ヨグ＝ゼーヴァの残響
Yes, I will do it for you	ああ、君のためにやろう
No, I can't help you	いや、力にはなれない
Any luck with a _phantom fish_, %s? You may want to try searching for it in one of the local pools.	_幻影魚_は見つかったか、%s？ この辺りの水溜まりを探してみるといい。
As you try to read the sign it bursts into greenish flames.	看板を読もうとした瞬間、緑がかった炎に包まれた。
You can spend your gold in shops on deeper levels of the dungeon. The first one is on the 6th level.	さらに深い階層の店でゴールドを使える。最初の店は6階だ。
If you are burning, you can't put out the fire in the water while levitating.	空中浮遊中は、燃えていても水で火を消すことはできない。
Weapons and armors deteriorate faster than wands and rings, but there are more ways to fix them.	武器と鎧は杖や指輪より早く傷むが、修理する手段も多い。
The only way to obtain a Scroll of Wipe Out is to receive it as a gift from the dungeon spirits.	殲滅の巻物を得る唯一の方法は、ダンジョンの精霊から褒美として授かることだ。
Choose language	言語を選択
