Pixel Dungeon	點陣地城
Play	開始玩
Highscores	高分紀錄
About	關於
Code & graphics: Watabou\nMusic: Cube_Code\n\nThis game is inspired by Brian Walker's Brogue. Try it on Windows, Mac OS or Linux - it's awesome! ;)\n\nPlease visit official website for additional info:	程式 & 圖像：Watabou\n音樂：Cube_Code\n\n此遊戲的靈感來自 Brian Walker 的 Brogue。在 Windows、Mac OS 或 Linux 上都可以玩玩看──超讚！;)\n\n請到我們的官網查看更多資訊：
pixeldungeon.watabou.ru	pixeldungeon.watabou.ru
Languages Create: rodriformiga	翻譯： Redbone
rodriformiga@gmail.com	redbone@ancyon.com
Send E-Mail	寄送 E-Mail
Top Rankings	最高排名
Total games won/played: 	破關 / 遊玩總次數： 
No games have been played yet.	還沒有遊玩紀錄。
No additional information	無更多資訊
Your Badges	你的徽章
Load Game	讀取遊戲
New Game	新遊戲
Erase current game	刪除目前遊戲
Depth: %1$d, level: %2$d	樓層：%1$d，等級：%2$d
Do you really want to start new game?	確定要開始新遊戲嗎？
Your current game progress will be erased.	目前的遊戲進度將被刪除。
Yes, start new game	是，開始新遊戲
No, return to main menu	不，回到主選單
To unlock this character class, slay the 3rd boss with any other class	要解鎖這個職業角色，請用任何其他職業打敗第 3 位 boss
To unlock "Challenges", win the game with any character class.	要解鎖「挑戰」，請用任何職業角色破關。
Descending...	下樓中...
Ascending...	上樓中...
Loading...	載入中...
Resurrecting...	復活中...
Returning...	返回中...
Falling...	墜落中...
File not found. For some reason...	因為某些原因，找不到檔案...
Something went wrong...	出錯了...
Many heroes of all kinds ventured into the Dungeon before you. Some of them have returned with treasures and magical artifacts, most have never been heard of since. But none have succeeded in retrieving the Amulet of Yendor, which is told to be hidden in the depths of the Dungeon.\n\nYou consider yourself ready for the challenge, but most importantly, you feel that fortune smiles on you. It's time to start your own adventure!	在你之前有許多英雄來過此地城探險。有些人帶著寶物和魔法物品歸去，而大部分的人都從此音訊全無。不過從來沒有人能成功取回炎多護符，據說它就藏在此地城的深處。\n\n你認為自己準備好接受挑戰了，但最重要的是，你覺得好運會眷顧你。是時候開始屬於你的冒險了！
Let's call it a day	收工囉
I'm not done yet	還沒完呢
You finally hold it in your hands, the Amulet of Yendor. Using its power you can take over the world or bring peace and prosperity to people or whatever. Anyway, your life will change forever and this game will end here. Or you can stay a mere mortal a little longer.	終於握在你手裡了，炎多護符。運用它的力量你可以統治世界，或是為人們帶來和平與繁榮等等。總之你的生活將永遠改變，而遊戲也將在此結束。或者，你也可以再當個平凡人一段時間。
Welcome to the level %d of Pixel Dungeon!	歡迎來到點陣地城第 %d 層！
Welcome back to the level %d of Pixel Dungeon!	歡迎回到點陣地城第 %d 層！
Be cautious, since the dungeon is even more dangerous at night!	小心點，因為地城到了晚上更加危險！
Your steps echo across the dungeon.	你的腳步聲迴盪在整座地城中。
You hear the water splashing around you.	你聽到四周有水花四濺的聲音。
The smell of vegetation is thick in the air.	空氣中有濃厚的草木氣味。
The atmosphere hints that this floor hides many secrets.	詭譎的氣氛暗示了這個樓層隱藏著許多秘密。
mob	怪物
%1$s hit %2$s	%1$s擊中了%2$s
%1$s defeated %2$s	%1$s擊敗了%2$s
%1$s %2$s your attack	%1$s%2$s了你的攻擊
