LibGDX port: Arcnor / Web port: nojus297	LibGDX-Port: Arcnor / Web-Port: nojus297
Telegram port: @barboskich	Telegram-Port: @barboskich
Eating the seed triggers its effect immediately.	Wenn du den Samen isst, wird die Wirkung der Pflanze sofort ausgelöst.
Tip: Long-press the wait button to rest until something interrupts you.	Tipp: Halte die Schaltfläche Warten gedrückt, um dich auszuruhen, bis dich etwas unterbricht.
Tip: Long-press the backpack to open the item catalog.	Tipp: Halte den Rucksack gedrückt, um den Gegenstandskatalog zu öffnen.
Tip: Doors and tall grass can break an enemy's line of sight.	Tipp: Türen und hohes Gras können die Sichtlinie eines Gegners unterbrechen.
Tip: Throw seeds onto empty tiles to grow useful plants.	Tipp: Wirf Samen auf freie Felder, um nützliche Pflanzen wachsen zu lassen.
Tip: Search suspicious walls to discover hidden doors and traps.	Tipp: Durchsuche verdächtige Wände, um verborgene Türen und Fallen zu entdecken.
Tip: Examining an enemy reveals useful combat information.	Tipp: Das Untersuchen eines Gegners zeigt nützliche Kampfinformationen.
HP: %d/%d\nAccuracy: %d  Evasion: %d\nProtection: 0-%d	LP: %d/%d\nGenauigkeit: %d  Ausweichen: %d\nSchutz: 0-%d
Select Your Hero	Wähle deinen Helden
Game Over	Spiel vorbei
Boss slain	Boss besiegt
Do you want to respec into %s?	Möchtest du deine Spezialisierung zu %s ändern?
Yes, I want to respec	Ja, ich möchte die Spezialisierung wechseln
Choose language	Sprache wählen
Key bindings	Tastenbelegung
Switch to fullscreen	Zum Vollbild wechseln
Switch to windowed	Zum Fenstermodus wechseln
Reset To Defaults	Standardeinstellungen
<None>	<Keine>
Press a key for "%s", or press %s to remove the binding.	Drücke eine Taste für "%s" oder %s, um die Belegung zu entfernen.
Hero Info	Heldeninfo
Wait	Warten
Search	Suchen
Examine cell	Feld untersuchen
Resume motion	Bewegung fortsetzen
Backpack	Rucksack
Quickslot	Schnellzugriff
Attack	Angriff
Visible Enemies	Sichtbare Gegner
Zoom In	Vergrößern
Zoom Out	Verkleinern
Move North	Nach Norden
Move South	Nach Süden
Move West	Nach Westen
Move East	Nach Osten
Move NW	Nach NW
