Pixel Dungeon	Pixel Dungeon
Play	Jugar
Highscores	Puntuaciones
About	Acerca
Code & graphics: Watabou\nMusic: Cube_Code\n\nThis game is inspired by Brian Walker's Brogue. Try it on Windows, Mac OS or Linux - it's awesome! ;)\n\nPlease visit official website for additional info:	Código & Gráficos: Watabou\nMúsica: Cube_Code\n\nEste juego está inspirado en Brian Walker's Brogue. Pruébalo en Windows, Mac OS or Linux - Es genial! ;)\n\nPara más información visita la web oficial:
pixeldungeon.watabou.ru	pixeldungeon.watabou.ru
Languages Create: rodriformiga	Traducción: rodriformiga & TavoCello
rodriformiga@gmail.com	rodriformiga@gmail.com
Send E-Mail	E-Mail
Top Rankings	Mejores puntuaciones
Total games won/played: 	Total juegos ganados/jugados: 
No games have been played yet.	Ningún juego se ha jugado todavía.
No additional information	No hay información adicional
Your Badges	Tus insignias
Load Game	Cargar juego
New Game	Nuevo juego
Erase current game	Borrar partida actual
Depth: %1$d, level: %2$d	Profund.: %1$d, level: %2$d
Do you really want to start new game?	Realmente quieres borrar la partida actual?
Your current game progress will be erased.	Tu progreso será eliminado.
Yes, start new game	Si, empezar de nuevo
No, return to main menu	No, volver al menú
To unlock this character class, slay the 3rd boss with any other class	Para desbloquear esta clase, debes matar al tercer jefe con otra clase
To unlock "Challenges", win the game with any character class.	Para desbloquear "Desafíos", termina el juego con una clase.
Descending...	Descendiendo...
Ascending...	Ascendiendo...
Loading...	Cargando...
Resurrecting...	Resucitando...
Returning...	Volviendo...
Falling...	Cayendo...
File not found. For some reason...	Archivo no encontrado. Ni idea de por qué...
Something went wrong...	Algo ha ido mal...
Many heroes of all kinds ventured into the Dungeon before you. Some of them have returned with treasures and magical artifacts, most have never been heard of since. But none have succeeded in retrieving the Amulet of Yendor, which is told to be hidden in the depths of the Dungeon.\n\nYou consider yourself ready for the challenge, but most importantly, you feel that fortune smiles on you. It's time to start your own adventure!	Muchos héroes de todo tipo han entrado en la Pixel Dungeon antes que tu. Algunos han vuelto con riquezas, la mayoría de ellos no se les ha vuelto a ver. Pero ninguno ha conseguido traer el Amuleto de Yendor, el cual está escondido en la decadencia de la mazmorra.\n\nTe consideras listo para este reto, pero más aún sientes que la suerte está de tu parte. Es hora de empezar tu propia aventura!
Let's call it a day	Estuvo bien mientras duró
I'm not done yet	Aun no he terminado con esto
You finally hold it in your hands, the Amulet of Yendor. Using its power you can take over the world or bring peace and prosperity to people or whatever. Anyway, your life will change forever and this game will end here. Or you can stay a mere mortal a little longer.	Por fin lo tienes en las manos, el amuleto de Yendor. Usando su poder puedes gobernar el mundo o traer paz a la gente o lo que sea. De cualquier manera, tu vida cambiará para siempre y ésta partida acabará aquí. O puedes quedarte aquí como un simple mortal algo más.
Welcome to the level %d of Pixel Dungeon!	Bienvenido al nivel %d de Pixel Dungeon!
Welcome back to the level %d of Pixel Dungeon!	Bienvenido de vuelta al nivel %d de Pixel Dungeon!
