Play	시작
Highscores	최고 점수
About	정보
LibGDX port: Arcnor / Web port: nojus297	LibGDX 포팅: Arcnor / 웹 포팅: nojus297
Telegram port: @barboskich	Telegram 포팅: @barboskich
Say thanks	감사 전하기
Thank you!	감사합니다!
This is a voluntary tip for the Telegram port. It never affects gameplay.	Telegram 포팅을 위한 자발적인 후원입니다. 게임 플레이에는 전혀 영향을 주지 않습니다.
Support with Telegram Stars	Telegram Stars로 후원
Open @barboskich	@barboskich 열기
Send E-Mail	Send E-Mail
Top Rankings	최고 랭킹
Total games won/played: 	총 플레이 회수.
No games have been played yet.	한번도 플레이 하지 않음.
No additional information	정보 없음
Your Badges	당신의 뱃지들
Load Game	불러 오기
New Game	새 게임
Erase current game	현재 게임 삭제
Depth: %1$d, level: %2$d	진행 깊이: %1$d\n층 수: %2$d
Do you really want to start new game?	정말 게임을 새로 시작 하시겠습니까?
Your current game progress will be erased.	현재 게임 진행 상황은 지워집니다.
Yes, start new game	네, 새로운 게임 시작
No, return to main menu	아니오, 메인 메뉴로
To unlock this character class, slay the 3rd boss with any other class	이 캐릭터 직업을 해금하기 위해서는 아무 직업으로 DM-300을 처치하세요.
To unlock "Challenges", win the game with any character class.	"도전"을 해제하려면, 아무 직업으로 게임을 클리어 하세요.
Descending...	내려가는중...
Ascending...	올라가는중...
Loading...	로딩중...
Resurrecting...	부활중...
Returning...	돌아오는중...
Falling...	떨어지는중...
File not found. For some reason...	파일을 찾지 못함. 어떠한 이유로...
Something went wrong...	무언가 잘못 되었다...
